Subject,Body,Labels,Selected,
Project Deadline Extension,The deadline for the project has been extended to next Friday. Please adjust your schedules accordingly.,Internal Communication;Project Update;Spam;Meeting;Unknown,Project Update,
Your Order Confirmation,Thank you for your purchase! Your order #34567 will be shipped today. Estimated delivery: Feb 10th.,Order Confirmation;Spam;Promotion;Internal Communication;Unknown,Order Confirmation,
Weekly Team Sync,"Reminder: Our weekly team sync is tomorrow at 10 AM via Zoom. Agenda attached.  Thanks, Jenna.",Meeting;Internal Communication;Spam;Promotion;Unknown,Meeting,
New Year Sale - Up to 50% Off,Don't miss out on our New Year Sale! Get up to 50% off on all electronics. Hurry ends Jan 15th!,Promotion;Order Confirmation;Internal Communication;Unknown,Promotion,
Invitation to Webinar on AI,Join our webinar next week discussing the future of AI in business. RSVP by clicking here.,Promotion;Meeting;Spam;Internal Communication;Unknown,Promotion,
Staff Meeting Today at 3 PM,All staff  please be reminded of the mandatory meeting today at 3 PM in the conference room.,Internal Communication;Meeting;Promotion;Spam;Unknown,Meeting,
Your Subscription Renewal,Your subscription to Newsletter Weekly is due for renewal. Renew now to keep receiving updates.,Promotion;Spam;Internal Communication;Order Confirmation;Unknown,Promotion,
Feedback on Project Alpha,Could you provide feedback on Project Alpha's current phase? We need your insights by Friday.,Internal Communication;Project Update;Spam;Meeting;Unknown,Project Update,
Team Building Event Next Friday,Join us for a fun team-building day at Adventure Park next Friday. RSVP by Wednesday!,Meeting;Internal Communication;Promotion;Spam;Unknown,Internal Communication,
Special Offer for Loyal Customers,As a thank you  enjoy a 20% discount on your next purchase with this code: LOYAL20.,Promotion;Order Confirmation;Internal Communication;Unknown,Promotion,
Urgent: Server Down,Our main server is down. IT team is on it but please be patient. Updates to follow.,Internal Communication;Project Update;Spam;Meeting;Unknown,Internal Communication,
Monthly Performance Review,Your monthly performance review is scheduled for next Tuesday at 2 PM. Please prepare accordingly.,Meeting;Internal Communication;Promotion;Spam;Unknown,Meeting,
New Product Launch,Introducing our latest product line! Be the first to know and get 10% off at launch.,Promotion;Order Confirmation;Internal Communication;Unknown,Promotion,
Reminder: Training Session,Reminder: The training on new software tools is tomorrow at 11 AM in Room B. -Training Dept,Meeting;Internal Communication;Project Update;Spam;Unknown,Meeting,
Your Invoice is Ready,Your invoice for January services is now available for download. Please check your account. ,Order Confirmation;Spam;Internal Communication;Promotion;Unknown,Order Confirmation,
Winter Sale Starts Now,Winter is here and so are the deals! Up to 40% off on selected items. Shop now!,Promotion;Spam;Order Confirmation;Internal Communication;Unknown,Promotion,
Team Update Call,We're having an update call to discuss the next quarter's goals. Join at 3 PM today.,Meeting;Internal Communication;Promotion;Spam;Unknown,Meeting,
System Upgrade Tonight,Our systems will undergo maintenance from 10 PM to 2 AM. Expect some downtime. -IT Support,Internal Communication;Project Update;Spam;Meeting;Unknown,Internal Communication,
Exclusive Member Event,You're invited to our exclusive member event next Saturday. RSVP for your spot! -Club Elite,Promotion;Meeting;Spam;Internal Communication;Unknown,Promotion,
Your Account Security,We've noticed unusual activity on your account. Please verify your identity ASAP. -Security Team,Internal Communication;Spam;Order Confirmation;Promotion;Unknown,Internal Communication,
Birthday Invitation,"Hey! We're celebrating Jackson's birthday next week, would love to see you there.",Promotion;Meeting;Spam;Personal;Unknown,Personal,
Groceries,"Hey, do you mind sending me the grocery list before I head to the store? Thanks.",Promotion;Meeting;Spam;Personal;Unknown,Personal,
Request for Donation,Our annual charity drive is live. Please consider contributing to help us reach our goal by the end of the month. Thank you!,Charity;Fundraising;Spam;Personal;Unknown,Charity,
Travel Itinerary to Paris,"Hello Amanda, attached is your itinerary for your upcoming trip to Paris. Have a wonderful journey!",Travel;Personal;Spam;Internal Communication;Unknown,Travel,
Bug Report: Website Crash,Our main site has been crashing intermittently. Could the dev team investigate this ASAP?,Technical Support;Bug;Internal Communication;Urgent;Unknown,Technical Support,
LinkedIn Connection Request,"I'd like to connect with you on LinkedIn to explore potential collaboration opportunities. Best regards, John.",Social Media;Professional;Spam;Networking;Unknown,Networking,
Family Reunion Next Month,"Hey family, let's meet at Grandma's place next month for a reunion. Let me know your availability!",Personal;Family;Spam;Informal;Unknown,Personal,
Concert Tickets Confirmation,Your tickets for the upcoming Coldplay concert are confirmed. Check your attached e-tickets!,Entertainment;Order Confirmation;Spam;Promotion;Unknown,Order Confirmation,
Restaurant Reservation Confirmation,Your table for two at Le Gourmet is confirmed for 7 PM this Friday. We look forward to serving you.,Dining;Reservation;Spam;Personal;Unknown,Reservation,
Project Collaboration Inquiry,"Hi Alex, I'd love to discuss a collaboration opportunity for our upcoming project. Let me know when you're free.",Business;Collaboration;Spam;Opportunity;Unknown,Collaboration,
Invitation to Virtual Book Club,Join our weekly virtual book club discussion this Thursday at 7 PM. This week's book is 'The Alchemist'.,Community;Meeting;Hobby;Virtual Event;Unknown,Meeting,
Medical Appointment Reminder,This is a reminder for your dental appointment on June 15th at 2 PM. Please call if you need to reschedule.,Personal;Medical;Reminder;Spam;Unknown,Reminder,
Apology for Late Delivery,We sincerely apologize for the delay in delivering your package. Please accept our discount voucher for future orders.,Customer Service;Apology;Promotion;Order Issue;Unknown,Apology,
Legal Notice of Policy Violation,This email serves as a formal notice regarding the recent violation of our community guidelines. Please review the attached policy document.,Legal;Violation;Spam;Urgent;Unknown,Legal,
Department Budget Meeting,We need to discuss the quarterly budget allocations. Please join the finance meeting on Thursday at 2 PM.,Finance;Meeting;Internal;Urgent;Unknown,Meeting,
Password Reset Request,A password reset was requested for your account. Click the link below to reset it if you did make this request.,Security;Password;Alert;Spam;Unknown,Security,
Book Shipping Confirmation,Thank you for your purchase! Your book 'Modern Data Strategies' has been shipped and should arrive within 3-5 business days.,Order Confirmation;Shipping;Customer Service;Books;Unknown,Order Confirmation,
Urgent Maintenance Request,Attention Facility Team: The HVAC system on the 2nd floor is malfunctioning. Please address immediately.,Maintenance;Urgent;Internal Communication;Facilities;Unknown,Maintenance,
Customer Feedback Request,We would appreciate your feedback on our new feature update. Please fill out this brief survey.,Customer Feedback;Survey;Product Update;Spam;Unknown,Customer Feedback,
Happy Hour Invite,Join us after work for a casual happy hour at The Loft. First round of drinks is on us!,Social;Personal;Team Building;Event;Unknown,Social,
Reminder: Subscription Ending,Your current plan will expire in 5 days. Renew now to continue enjoying premium benefits.,Subscription;Renewal;Promotion;Reminder;Unknown,Renewal,
Office Renovation Plan,Good news! Our office renovation project is set to start next Monday. Be prepared for temporary workspace adjustments.,Internal Announcement;Project Update;Office;Spam;Unknown,Project Update,
Team Outing Announcement,We are excited to announce a team outing next Friday. Pack your bags for a day full of fun activities.,Team Building;Event;Social;Announcement;Unknown,Team Building,
Security Alert: Suspicious Login Attempt,A suspicious login attempt was detected on your account. Please verify your recent activity and update your security settings if necessary.,Security;Spam;Personal;Unknown,Security,
Monthly Performance Report,Please find attached the performance report for the month. Let us know if you have any questions or feedback.,Report;Internal Announcement;Personal;Unknown,Report,
Limited Time Offer: 30% Discount,Grab our limited time offer now and enjoy a 30% discount on all products. Shop today and save big!,Promotion;Personal;Job;Unknown,Promotion,
Your Order Has Shipped,We are pleased to inform you that your recent order has been shipped. Track your package with the tracking number provided.,Order Update;Shipping;Notification;Delivery;Unknown,Order Update,
Reminder: Meeting Room Booking,The meeting room is booked for tomorrow at 9 AM. Please be on time for your scheduled meeting.,Internal Communication;Meeting;Spam;Reminder;Unknown,Meeting,
Your Monthly Invoice is Available,Your invoice for this month is now ready. Please log in to your account for details.,Order Confirmation;Invoice;Internal Communication;Spam;Unknown,Order Confirmation,
Upcoming Webinar: Cloud Security Trends,Join our expert panel discussing the latest trends in cloud security. Register now to secure your spot.,Promotion;Meeting;Internal Communication;Webinar;Unknown,Promotion,
Team Outing: Bowling Night,We are organizing a bowling night for the team this Friday evening. Let's have some fun outside work!,Team Building;Social;Internal Communication;Event;Unknown,Team Building,
Important: Password Reset Instructions,You have requested to reset your password. Please use the link below to complete the process.,Security;Password;Alert;Spam;Unknown,Security,
Flight Itinerary Confirmation,Your flight to New York has been confirmed. Attached is your itinerary and boarding pass details.,Travel;Order Confirmation;Internal Communication;Spam;Unknown,Travel,
New Software Update Available,Our new software update is now live. Please update your application to enjoy the latest features and security improvements.,Technical Support;Internal Communication;Update;Promotion;Unknown,Technical Support,
Networking Event Invitation,We invite you to our exclusive networking event next Wednesday. Expand your professional connections and enjoy some refreshments.,Networking;Promotion;Meeting;Internal Communication;Unknown,Networking,
Charity Run Registration Open,Sign up for our annual charity run to support local communities. Register now and make a difference.,Charity;Promotion;Event;Internal Communication;Unknown,Charity,
Office Closure Notice,Due to unforeseen circumstances, our office will be closed tomorrow. Please work from home until further notice.;Unknown,Internal Communication;Office;Urgent;Reminder,Internal Communication
Reminder: Annual Performance Review,This is a reminder for your annual performance review scheduled next week. Prepare your self-assessment.,Meeting;Internal Communication;Reminder;HR;Unknown,Meeting,
Update on Project Beta,We have made significant progress on Project Beta. Please review the attached update for details and next steps.,Project Update;Internal Communication;Meeting;Spam;Unknown,Project Update,
Order Delivery Delay Notification,We regret to inform you that your order delivery will be delayed due to shipping issues. We apologize for the inconvenience.,Order Update;Customer Service;Internal Communication;Alert;Unknown,Order Update,
Workshop: Effective Communication Skills,Join our workshop on effective communication skills to enhance your professional interactions. RSVP is required.,Meeting;Internal Communication;Training;Promotion;Unknown,Training,
System Alert: Unauthorized Access Attempt,An unauthorized access attempt was detected. Please review your account activity immediately and secure your credentials.,Security;Alert;Internal Communication;Urgent;Unknown,Security,
Urgent: Data Breach Notification,We have detected unusual activity on our servers indicating a possible data breach. Immediate action is required to secure sensitive information.,Security;Urgent;IT Support;Incident;Unknown,Security,
Team Lunch Invitation,Let's gather for a team lunch this Friday at the new Italian restaurant downtown. RSVP by Wednesday!,Social;Internal Communication;Team Building;Invitation;Unknown,Team Building,
Quarterly Financial Report,Attached is the quarterly financial report. Please review the key performance indicators and budget analysis.,Finance;Report;Internal Communication;Urgent;Unknown,Finance,
New Policy Update from HR,Please be informed of the new workplace policies effective immediately. Check the attached document for details.,HR;Internal Communication;Legal;Policy;Unknown,HR,
Your Vacation Request Approved,Congratulations  your vacation request has been approved. Enjoy your time off starting next Monday,Personal;Internal Communication;HR;Notification;Unknown,HR,
New Product Release: SmartWatch X,We're excited to announce the release of SmartWatch X. Discover its innovative features and sleek design now!,Product Launch;Promotion;Internal Communication;Update;Unknown,Product Launch,
Reminder: Software Training Session Tomorrow,Don't forget to attend the software training session scheduled for tomorrow at 2 PM in Conference Room B.,Training;Meeting;Internal Communication;Reminder;Unknown,Training,
Invitation: Annual Charity Gala,You are cordially invited to our Annual Charity Gala. Join us in supporting a great cause. Dress code: formal.,Charity;Event;Social;Promotion;Unknown,Charity,
Conference Registration Confirmation,Your registration for the Global Tech Conference has been confirmed. Please check the attached itinerary for details.,Conference;Travel;Order Confirmation;Notification;Unknown,Conference,
Maintenance Scheduled for Server Room,Please be advised that maintenance will be performed in the server room tonight from 11 PM to 2 AM. Save your work.,IT Support;Maintenance;Internal Communication;Alert;Unknown,Maintenance,
New Blog Post: The Future of AI,Our latest blog post explores the future of AI and its impact on everyday life. Check it out on our website!,Newsletter;Content;Promotion;Internal Communication;Unknown,Newsletter,
Reminder: Doctor's Appointment Tomorrow,This is a friendly reminder for your doctor's appointment scheduled for tomorrow at 9 AM. Please arrive 15 minutes early.,Medical;Personal;Reminder;Internal Communication;Unknown,Medical,
Invitation to Exclusive Networking Dinner,Join us for an exclusive networking dinner with industry leaders. Limited seats available – RSVP by tonight.,Networking;Event;Promotion;Internal Communication;Unknown,Networking,
System Upgrade Notification,Our software will undergo a system upgrade this weekend. Expect brief downtimes during the process. We appreciate your patience.,IT Support;Update;Internal Communication;Alert;Unknown,Update,
Monthly Sustainability Report,Attached is the monthly sustainability report detailing our environmental impact and green initiatives.,Report;Internal Communication;Sustainability;Update;Unknown,Sustainability,
Order Cancellation Confirmation,Your order #78910 has been successfully cancelled as per your request. Contact us if you need further assistance.,Order Cancellation;Customer Service;Notification;Internal Communication;Unknown,Order Cancellation,
Reminder: Compliance Training,All employees are required to complete the annual compliance training by the end of the week. Please log in to the training portal.,Training;Compliance;Internal Communication;Reminder;Unknown,Training,
Exciting Career Opportunity at TechCorp,We are hiring! Check out the attached job description and join our innovative team at TechCorp. Apply now!,Job;Recruitment;Promotion;Internal Communication;Unknown,Recruitment,
Family Gathering This Weekend,Don't forget about our family gathering this weekend at Uncle Bob's place. Looking forward to seeing everyone!,Personal;Family;Social;Invitation;Unknown,Family,
Legal Action Notice: Trademark Infringement,This is a formal notice regarding trademark infringement. Please cease the unauthorized use of our intellectual property immediately.,Legal;Urgent;Internal Communication;Policy;Unknown,Legal,
Invitation: Yoga Workshop for Wellness,Join us for a relaxing yoga workshop to boost your well-being. Bring your mat and comfortable attire. RSVP by Thursday.,Wellness;Workshop;Event;Personal;Unknown,Workshop,
Software Bug Report: Login Issue,Users have reported an error during login on our mobile app. Please investigate and resolve the bug as soon as possible.,Bug;Technical Support;IT;Urgent;Unknown,Bug,
Reminder: Subscription Renewal Notice,Your subscription is set to expire in 3 days. Please renew to continue enjoying our premium services without interruption.,Subscription;Billing;Reminder;Internal Communication;Unknown,Subscription,
New Training: Advanced Excel Techniques,Enhance your spreadsheet skills with our advanced Excel training session next week. Seats are limited – register now!,Training;Workshop;Skill Development;Internal Communication;Unknown,Training,
Invitation: Community Volunteer Day,"We invite you to join our community volunteer day to help local non-profits. Together, we can make a difference!",Community;Volunteer;Event;Social;Unknown,Community,
Project Kickoff Meeting Agenda,Please find attached the agenda for the project kickoff meeting scheduled for Monday. Your input is appreciated.,Project Management;Meeting;Agenda;Internal Communication;Unknown,Project Management,
Security Alert: Suspicious Email Activity,Our monitoring system has flagged suspicious email activity that might indicate phishing attempts. Please review and take necessary precautions.,Security;Alert;Internal Communication;Spam;Unknown,Security,
Order Confirmation: Furniture Purchase,Thank you for your order! Your furniture purchase has been confirmed and will be shipped shortly. Track your delivery online.,Order Confirmation;Shipping;Customer Service;Internal Communication;Unknown,Order Confirmation,
New Office Location Announcement,We are excited to announce that our new office will be located at 123 Main Street starting next month. More details to follow.,Internal Communication;Announcement;Office;Relocation;Unknown,Announcement,
Customer Loyalty Reward Program,Introducing our new loyalty reward program! Earn points with every purchase and redeem exciting rewards. Learn more inside.,Promotion;Customer Service;Reward;Loyalty;Unknown,Reward,
Event Update: Annual Tech Expo,The Annual Tech Expo schedule has been updated. Please review the new event timings and venue details attached.,Event;Update;Internal Communication;Tech;Unknown,Event,
Website Downtime Scheduled,Our website will be undergoing scheduled maintenance tonight from 12 AM to 2 AM. Please plan your activities accordingly.,Maintenance;IT Support;Internal Communication;Alert;Unknown,Maintenance,
Monthly Inventory Report,Please review the attached monthly inventory report for a detailed breakdown of stock levels and supply chain metrics.,Inventory;Report;Internal Communication;Finance;Unknown,Inventory,
Invitation: CEO Town Hall Meeting,Join our CEO for an open town hall meeting next Wednesday to discuss company performance and future strategies.,Meeting;Internal Communication;Leadership;Town Hall;Unknown,Town Hall,
Reminder: Parking Permit Renewal,This is a reminder to renew your parking permit before it expires. Please visit the HR portal to complete the process.,Internal Communication;Reminder;Parking;HR;Unknown,Reminder,
Software License Expiration Notice,Your software license is set to expire in 7 days. Renew now to avoid any interruptions in service.,License;Alert;Technical Support;Internal Communication;Unknown,License,
Exclusive Deal: 40% Off on Home Decor,Upgrade your home with our exclusive 40% discount on select home decor items. Offer valid this weekend only!,Promotion;Order Confirmation;Internal Communication;Limited Time Offer;Unknown,Promotion,